# latex symbols
# credit: https://github.com/shenlebantongying/rime_latex/blob/main/latex.dict.yaml
# 选择性地收录常用的 LaTeX 符号，并且：
# 1. 移除了控制序列的起始符号'\' ，以便直接输入符号名称来输出对应的 LaTeX 符号
# 2. 对于特殊字体，使用全称而非缩写，例如使用 mathbf* 而非 mbf*；将 sans 改为 sf
#
# 符号 <Tab> 符号名称
# version: "2026-05-26"
# encoding: utf-8

LaTeX latex

# 运算符
¬	neg
𝙳	mathttd
𝙴	mathtte
𝙵	mathttf
𝙶	mathttg
𝙷	mathtth
𝙸	mathtti
𝙹	mathttj
𝙺	mathttk
𝙻	mathttl
𝙼	mathttm
𝙽	mathttn
𝙾	mathtto
𝙿	mathttp
𝚀	mathttq
𝚁	mathttr
𝚂	mathtts
𝚃	mathttt
𝚄	mathttu
𝚅	mathttv
𝚆	mathttw
𝚇	mathttx
𝚈	mathtty
𝚉	mathttz
𝚊	mathtta
𝚋	mathttb
𝚌	mathttc
𝚍	mathttd
𝚎	mathtte
𝚏	mathttf
𝚐	mathttg
𝚑	mathtth
𝚒	mathtti
𝚓	mathttj
𝚔	mathttk
𝚕	mathttl
𝚖	mathttm
𝚗	mathttn
𝚘	mathtto
𝚙	mathttp
𝚚	mathttq
𝚛	mathttr
𝚜	mathtts
𝚝	mathttt
𝚞	mathttu
𝚟	mathttv
𝚠	mathttw
𝚡	mathttx
𝚢	mathtty
𝚣	mathttz


𝑨	mathbfita
𝑩	mathbfitb
𝑪	mathbfitc
𝑫	mathbfitd
𝑬	mathbfite
𝑭	mathbfitf
𝑮	mathbfitg
𝑯	mathbfith
𝑰	mathbfiti
𝑱	mathbfitj
𝑲	mathbfitk
𝑳	mathbfitl
𝑴	mathbfitm
𝑵	mathbfitn
𝑶	mathbfito
𝑷	mathbfitp
𝑸	mathbfitq
𝑹	mathbfitr
𝑺	mathbfits
𝑻	mathbfitt
𝑼	mathbfitu
𝑽	mathbfitv
𝑾	mathbfitw
𝑿	mathbfitx
𝒀	mathbfity
𝒁	mathbfitz
𝒂	mathbfita
𝒃	mathbfitb
𝒄	mathbfitc
𝒅	mathbfitd
𝒆	mathbfite
𝒇	mathbfitf
𝒈	mathbfitg
𝒉	mathbfith
𝒊	mathbfiti
𝒋	mathbfitj
𝒌	mathbfitk
𝒍	mathbfitl
𝒎	mathbfitm
𝒏	mathbfitn
𝒐	mathbfito
𝒑	mathbfitp
𝒒	mathbfitq
𝒓	mathbfitr
𝒔	mathbfits
𝒕	mathbfitt
𝒖	mathbfitu
𝒗	mathbfitv
𝒘	mathbfitw
𝒙	mathbfitx
𝒚	mathbfity
𝒛	mathbfitz

𝓐	mathbfscra
𝓑	mathbfscrb
𝓒	mathbfscrc
𝓓	mathbfscrd
𝓔	mathbfscre
𝓕	mathbfscrf
𝓖	mathbfscrg
𝓗	mathbfscrh
𝓘	mathbfscri
𝓙	mathbfscrj
𝓚	mathbfscrk
𝓛	mathbfscrl
𝓜	mathbfscrm
𝓝	mathbfscrn
𝓞	mathbfscro
𝓟	mathbfscrp
𝓠	mathbfscrq
𝓡	mathbfscrr
𝓢	mathbfscrs
𝓣	mathbfscrt
𝓤	mathbfscru
𝓥	mathbfscrv
𝓦	mathbfscrw
𝓧	mathbfscrx
𝓨	mathbfscry
𝓩	mathbfscrz
𝓪	mathbfscra
𝓫	mathbfscrb
𝓬	mathbfscrc
𝓭	mathbfscrd
𝓮	mathbfscre
𝓯	mathbfscrf
𝓰	mathbfscrg
𝓱	mathbfscrh
𝓲	mathbfscri
𝓳	mathbfscrj
𝓴	mathbfscrk
𝓵	mathbfscrl
𝓶	mathbfscrm
𝓷	mathbfscrn
𝓸	mathbfscro
𝓹	mathbfscrp
𝓺	mathbfscrq
𝓻	mathbfscrr
𝓼	mathbfscrs
𝓽	mathbfscrt
𝓾	mathbfscru
𝓿	mathbfscrv
𝔀	mathbfscrw
𝔁	mathbfscrx
𝔂	mathbfscry
𝔃	mathbfscrz

𝕬	mathbffraka
𝕭	mathbffrakb
𝕮	mathbffrakc
𝕯	mathbffrakd
𝕰	mathbffrake
𝕱	mathbffrakf
𝕲	mathbffrakg
𝕳	mathbffrakh
𝕴	mathbffraki
𝕵	mathbffrakj
𝕶	mathbffrakk
𝕷	mathbffrakl
𝕸	mathbffrakm
𝕹	mathbffrakn
𝕺	mathbffrako
𝕻	mathbffrakp
𝕼	mathbffrakq
𝕽	mathbffrakr
𝕾	mathbffraks
𝕿	mathbffrakt
𝖀	mathbffraku
𝖁	mathbffrakv
𝖂	mathbffrakw
𝖃	mathbffrakx
𝖄	mathbffraky
𝖅	mathbffrakz
𝖆	mathbffraka
𝖇	mathbffrakb
𝖈	mathbffrakc
𝖉	mathbffrakd
𝖊	mathbffrake
𝖋	mathbffrakf
𝖌	mathbffrakg
𝖍	mathbffrakh
𝖎	mathbffraki
𝖏	mathbffrakj
𝖐	mathbffrakk
𝖑	mathbffrakl
𝖒	mathbffrakm
𝖓	mathbffrakn
𝖔	mathbffrako
𝖕	mathbffrakp
𝖖	mathbffrakq
𝖗	mathbffrakr
𝖘	mathbffraks
𝖙	mathbffrakt
𝖚	mathbffraku
𝖛	mathbffrakv
𝖜	mathbffrakw
𝖝	mathbffrakx
𝖞	mathbffraky
𝖟	mathbffrakz

𝗔	mathbfsfa
𝗕	mathbfsfb
𝗖	mathbfsfc
𝗗	mathbfsfd
𝗘	mathbfsfe
𝗙	mathbfsff
𝗚	mathbfsfg
𝗛	mathbfsfh
𝗜	mathbfsfi
𝗝	mathbfsfj
𝗞	mathbfsfk
𝗟	mathbfsfl
𝗠	mathbfsfm
𝗡	mathbfsfn
𝗢	mathbfsfo
𝗣	mathbfsfp
𝗤	mathbfsfq
𝗥	mathbfsfr
𝗦	mathbfsfs
𝗧	mathbfsft
𝗨	mathbfsfu
𝗩	mathbfsfv
𝗪	mathbfsfw
𝗫	mathbfsfx
𝗬	mathbfsfy
𝗭	mathbfsfz
𝗮	mathbfsfa
𝗯	mathbfsfb
𝗰	mathbfsfc
𝗱	mathbfsfd
𝗲	mathbfsfe
𝗳	mathbfsff
𝗴	mathbfsfg
𝗵	mathbfsfh
𝗶	mathbfsfi
𝗷	mathbfsfj
𝗸	mathbfsfk
𝗹	mathbfsfl
𝗺	mathbfsfm
𝗻	mathbfsfn
𝗼	mathbfsfo
𝗽	mathbfsfp
𝗾	mathbfsfq
𝗿	mathbfsfr
𝘀	mathbfsfs
𝘁	mathbfsft
𝘂	mathbfsfu
𝘃	mathbfsfv
𝘄	mathbfsfw
𝘅	mathbfsfx
𝘆	mathbfsfy
𝘇	mathbfsfz

𝘈	mathitsfa
𝘉	mathitsfb
𝘊	mathitsfc
𝘋	mathitsfd
𝘌	mathitsfe
𝘍	mathitsff
𝘎	mathitsfg
𝘏	mathitsfh
𝘐	mathitsfi
𝘑	mathitsfj
𝘒	mathitsfk
𝘓	mathitsfl
𝘔	mathitsfm
𝘕	mathitsfn
𝘖	mathitsfo
𝘗	mathitsfp
𝘘	mathitsfq
𝘙	mathitsfr
𝘚	mathitsfs
𝘛	mathitsft
𝘜	mathitsfu
𝘝	mathitsfv
𝘞	mathitsfw
𝘟	mathitsfx
𝘠	mathitsfy
𝘡	mathitsfz
𝘢	mathitsfa
𝘣	mathitsfb
𝘤	mathitsfc
𝘥	mathitsfd
𝘦	mathitsfe
𝘧	mathitsff
𝘨	mathitsfg
𝘩	mathitsfh
𝘪	mathitsfi
𝘫	mathitsfj
𝘬	mathitsfk
𝘭	mathitsfl
𝘮	mathitsfm
𝘯	mathitsfn
𝘰	mathitsfo
𝘱	mathitsfp
𝘲	mathitsfq
𝘳	mathitsfr
𝘴	mathitsfs
𝘵	mathitsft
𝘶	mathitsfu
𝘷	mathitsfv
𝘸	mathitsfw
𝘹	mathitsfx
𝘺	mathitsfy
𝘻	mathitsfz

𝘼	mathbfitsfa
𝘽	mathbfitsfb
𝘾	mathbfitsfc
𝘿	mathbfitsfd
𝙀	mathbfitsfe
𝙁	mathbfitsff
𝙂	mathbfitsfg
𝙃	mathbfitsfh
𝙄	mathbfitsfi
𝙅	mathbfitsfj
𝙆	mathbfitsfk
𝙇	mathbfitsfl
𝙈	mathbfitsfm
𝙉	mathbfitsfn
𝙊	mathbfitsfo
𝙋	mathbfitsfp
𝙌	mathbfitsfq
𝙍	mathbfitsfr
𝙎	mathbfitsfs
𝙏	mathbfitsft
𝙐	mathbfitsfu
𝙑	mathbfitsfv
𝙒	mathbfitsfw
𝙓	mathbfitsfx
𝙔	mathbfitsfy
𝙕	mathbfitsfz
𝙖	mathbfitsfa
𝙗	mathbfitsfb
𝙘	mathbfitsfc
𝙙	mathbfitsfd
𝙚	mathbfitsfe
𝙛	mathbfitsff
𝙜	mathbfitsfg
𝙝	mathbfitsfh
𝙞	mathbfitsfi
𝙟	mathbfitsfj
𝙠	mathbfitsfk
𝙡	mathbfitsfl
𝙢	mathbfitsfm
𝙣	mathbfitsfn
𝙤	mathbfitsfo
𝙥	mathbfitsfp
𝙦	mathbfitsfq
𝙧	mathbfitsfr
𝙨	mathbfitsfs
𝙩	mathbfitsft
𝙪	mathbfitsfu
𝙫	mathbfitsfv
𝙬	mathbfitsfw
𝙭	mathbfitsfx
𝙮	mathbfitsfy
𝙯	mathbfitsfz
